id	sample1	sample2	sample3	sample4	sample5	sample6
gene604	192.05	213.64	224.68	234.59	210.8	218.34
gene605	5.23	6.11	8.95	6.14	1.52	2.98
gene606	1.01	3.51	3.75	1.71	5.43	5.65
gene607	3.22	1.79	2.46	2.47	0.73	1.92
gene608	11.06	12.88	10.01	21.6	18.36	17.39
gene609	202.32	266.82	290.35	165.51	200.73	163.85
gene610	13.66	14.31	17.62	37.5	53.62	66.21
gene611	118.88	140.01	179.11	1094.67	1363.31	1547.19
gene612	20.08	27.02	24.65	28.99	34.22	29.73
gene613	169.45	321.65	353.74	157.3	178.72	156.1
gene614	29.14	38.19	38.7	54.19	63.83	58.96
gene615	95.67	126.42	126.86	132.78	191.66	146.37
gene616	120.78	132.33	156.75	281.08	224.75	262.7
gene617	1.85	2.2	4.38	2.41	3.89	3.81
gene618	35.92	37.67	45.83	32.0	30.55	30.98
gene619	5.73	2.92	5.22	9.64	6.47	9.67
gene620	5.88	27.28	18.91	467.13	221.77	470.49
gene621	55.01	90.71	81.59	28.91	47.64	25.77
gene622	64.08	60.87	71.24	86.89	90.95	86.52
gene623	74.05	104.83	95.77	199.37	259.28	199.2
gene624	6.52	11.48	15.08	11.03	22.88	14.01
gene625	70.48	115.45	122.39	205.19	242.27	203.08
gene626	36.95	49.45	46.95	89.86	111.68	116.91
gene627	141.84	204.22	199.58	257.35	271.02	221.27
gene628	4.94	6.81	4.61	7.35	12.02	9.91
gene629	1.29	0.6	2.74	1.48	1.32	1.86
gene630	2.13	2.98	2.29	2.42	2.8	0.78
gene631	7.78	10.61	9.98	16.58	20.03	18.6
gene632	33.69	60.62	59.77	0.31	1.24	0.45
gene633	36.44	46.92	61.75	47.31	50.55	40.52
gene634	13.57	16.5	16.95	13.97	13.81	11.69
gene635	3.07	5.58	4.7	5.29	6.21	5.92
gene636	101.68	126.44	131.17	95.91	138.47	110.34
gene637	7.2	10.67	9.56	12.71	13.54	13.96
gene638	16.55	23.1	21.21	19.19	18.48	17.6
gene639	29.9	17.07	25.0	19.81	7.9	21.33
gene640	6.22	11.42	8.24	17.35	16.37	14.15
gene641	24.63	24.18	32.61	53.02	61.33	53.7
gene642	42.43	42.68	57.26	76.18	41.88	59.2
gene643	341.73	468.0	544.18	449.91	669.91	499.87
gene644	106.34	161.32	191.56	550.19	548.01	562.1
gene645	50.38	54.06	63.28	200.23	193.36	182.46
gene646	11.47	9.6	11.89	17.8	11.49	16.17
gene647	27.27	52.37	56.96	40.71	39.37	42.92
